Item,Right_ans,a,b,c
C1,A,0.314,-3.267,0.17
C2,D,0.321,-2.765,0.17
C3,C,0.322,-2.673,0.17
C4,C,0.32,-2.619,0.17
C5,D,0.337,-2.445,0.17
C6,B,0.334,-2.38,0.17
C7,D,0.332,-2.381,0.17
C8,C,0.344,-2.314,0.17
C9,A,0.353,-2.229,0.17
C10,B,0.357,-2.194,0.17
C11,D,0.358,-1.961,0.17
C12,B,0.367,-1.923,0.17
C13,A,0.361,-1.852,0.17
C14,C,0.362,-1.81,0.17
C15,C,0.378,-1.816,0.17
C16,A,0.371,-1.803,0.17
C17,B,0.385,-1.713,0.17
C18,B,0.382,-1.705,0.17
C19,D,0.387,-1.69,0.17
C20,A,0.391,-1.694,0.17
C21,C,0.399,-1.663,0.17
C22,A,0.392,-1.642,0.17
C23,C,0.406,-1.645,0.17
C24,C,0.405,-1.614,0.17
C25,C,0.413,-1.588,0.17
C26,C,0.415,-1.578,0.17
C27,D,0.416,-1.565,0.17
C28,B,0.42,-1.55,0.17
C29,B,0.422,-1.516,0.17
C30,A,0.421,-1.497,0.17
C31,A,0.422,-1.482,0.17
C32,D,0.428,-1.475,0.17
C33,B,0.424,-1.474,0.17
C34,B,0.438,-1.475,0.17
C35,D,0.434,-1.429,0.17
C36,A,0.435,-1.419,0.17
C37,D,0.435,-1.404,0.17
C38,B,0.436,-1.362,0.17
C39,B,0.433,-1.365,0.17
C40,D,0.445,-1.35,0.17
C41,C,0.447,-1.35,0.17
C42,A,0.44,-1.304,0.17
C43,C,0.442,-1.29,0.17
C44,B,0.446,-1.292,0.17
C45,A,0.455,-1.287,0.17
C46,B,0.459,-1.268,0.17
C47,C,0.457,-1.261,0.17
C48,A,0.453,-1.251,0.17
C49,C,0.462,-1.218,0.17
C50,C,0.465,-1.216,0.17
C51,D,0.464,-1.204,0.17
C52,B,0.464,-1.185,0.17
C53,B,0.469,-1.173,0.17
C54,B,0.469,-1.17,0.17
C55,A,0.463,-1.163,0.17
C56,A,0.462,-1.136,0.17
C57,C,0.472,-1.106,0.17
C58,C,0.479,-1.09,0.17
C59,B,0.476,-1.09,0.17
C60,C,0.472,-1.066,0.17
C61,C,0.485,-1.061,0.17
C62,B,0.484,-1.024,0.17
C63,D,0.481,-1.019,0.17
C64,B,0.481,-1.016,0.17
C65,D,0.485,-0.991,0.17
C66,C,0.493,-0.976,0.17
C67,B,0.491,-0.957,0.17
C68,A,0.494,-0.953,0.17
C69,B,0.49,-0.955,0.17
C70,A,0.492,-0.946,0.17
C71,B,0.49,-0.943,0.17
C72,B,0.508,-0.948,0.17
C73,A,0.505,-0.937,0.17
C74,B,0.506,-0.906,0.17
C75,B,0.504,-0.892,0.17
C76,A,0.5,-0.897,0.17
C77,A,0.5,-0.897,0.17
C78,D,0.5,-0.889,0.17
C79,D,0.513,-0.879,0.17
C80,B,0.514,-0.864,0.17
C81,B,0.516,-0.862,0.17
C82,D,0.513,-0.854,0.17
C83,B,0.522,-0.845,0.17
C84,A,0.525,-0.82,0.17
C85,D,0.526,-0.805,0.17
C86,A,0.524,-0.809,0.17
C87,C,0.527,-0.796,0.17
C88,D,0.52,-0.788,0.17
C89,C,0.534,-0.788,0.17
C90,A,0.531,-0.779,0.17
C91,A,0.538,-0.779,0.17
C92,D,0.536,-0.769,0.17
C93,B,0.541,-0.765,0.17
C94,B,0.541,-0.754,0.17
C95,C,0.549,-0.751,0.17
C96,A,0.554,-0.755,0.17
C97,C,0.558,-0.733,0.17
C98,B,0.55,-0.723,0.17
C99,D,0.556,-0.721,0.17
C100,D,0.557,-0.722,0.17
C101,C,0.551,-0.716,0.17
C102,C,0.565,-0.692,0.17
C103,B,0.562,-0.696,0.17
C104,A,0.56,-0.683,0.17
C105,B,0.569,-0.658,0.17
C106,C,0.564,-0.65,0.17
C107,D,0.568,-0.657,0.17
C108,B,0.577,-0.655,0.17
C109,A,0.574,-0.645,0.17
C110,C,0.575,-0.641,0.17
C111,A,0.574,-0.631,0.17
C112,A,0.576,-0.636,0.17
C113,D,0.575,-0.628,0.17
C114,A,0.58,-0.624,0.17
C115,D,0.588,-0.609,0.17
C116,A,0.581,-0.604,0.17
C117,C,0.58,-0.593,0.17
C118,D,0.58,-0.591,0.17
C119,A,0.594,-0.587,0.17
C120,B,0.593,-0.589,0.17
C121,C,0.598,-0.564,0.17
C122,D,0.598,-0.56,0.17
C123,A,0.591,-0.564,0.17
C124,B,0.595,-0.544,0.17
C125,C,0.6,-0.543,0.17
C126,C,0.607,-0.538,0.17
C127,A,0.608,-0.535,0.17
C128,A,0.606,-0.523,0.17
C129,A,0.614,-0.522,0.17
C130,B,0.619,-0.513,0.17
C131,D,0.615,-0.498,0.17
C132,C,0.614,-0.494,0.17
C133,C,0.614,-0.481,0.17
C134,B,0.622,-0.484,0.17
C135,B,0.628,-0.479,0.17
C136,B,0.629,-0.475,0.17
C137,C,0.62,-0.466,0.17
C138,B,0.62,-0.452,0.17
C139,B,0.624,-0.447,0.17
C140,D,0.634,-0.443,0.17
C141,A,0.636,-0.439,0.17
C142,C,0.631,-0.423,0.17
C143,D,0.63,-0.418,0.17
C144,A,0.632,-0.412,0.17
C145,A,0.637,-0.415,0.17
C146,C,0.639,-0.406,0.17
C147,B,0.643,-0.397,0.17
C148,B,0.648,-0.383,0.17
C149,C,0.642,-0.385,0.17
C150,D,0.647,-0.389,0.17
C151,D,0.641,-0.378,0.17
C152,D,0.64,-0.367,0.17
C153,D,0.652,-0.358,0.17
C154,D,0.655,-0.357,0.17
C155,A,0.659,-0.347,0.17
C156,A,0.657,-0.347,0.17
C157,A,0.652,-0.341,0.17
C158,C,0.655,-0.341,0.17
C159,B,0.652,-0.323,0.17
C160,D,0.656,-0.329,0.17
C161,D,0.668,-0.329,0.17
C162,A,0.661,-0.328,0.17
C163,C,0.664,-0.304,0.17
C164,D,0.664,-0.295,0.17
C165,A,0.66,-0.291,0.17
C166,B,0.672,-0.286,0.17
C167,B,0.679,-0.288,0.17
C168,B,0.677,-0.281,0.17
C169,B,0.67,-0.281,0.17
C170,D,0.674,-0.288,0.17
C171,B,0.687,-0.27,0.17
C172,B,0.681,-0.278,0.17
C173,D,0.687,-0.262,0.17
C174,B,0.685,-0.253,0.17
C175,B,0.692,-0.249,0.17
C176,B,0.697,-0.247,0.17
C177,C,0.694,-0.236,0.17
C178,A,0.691,-0.234,0.17
C179,A,0.702,-0.238,0.17
C180,B,0.703,-0.211,0.17
C181,B,0.701,-0.213,0.17
C182,C,0.706,-0.199,0.17
C183,A,0.719,-0.187,0.17
C184,A,0.715,-0.171,0.17
C185,D,0.715,-0.172,0.17
C186,D,0.711,-0.171,0.17
C187,C,0.714,-0.16,0.17
C188,D,0.723,-0.169,0.17
C189,B,0.728,-0.165,0.17
C190,C,0.727,-0.132,0.17
C191,C,0.726,-0.13,0.17
C192,D,0.72,-0.118,0.17
C193,C,0.729,-0.107,0.17
C194,D,0.739,-0.107,0.17
C195,C,0.736,-0.1,0.17
C196,C,0.731,-0.103,0.17
C197,B,0.733,-0.091,0.17
C198,C,0.732,-0.081,0.17
C199,B,0.73,-0.071,0.17
C200,D,0.742,-0.066,0.17
C201,D,0.749,-0.067,0.17
C202,C,0.748,-0.06,0.17
C203,C,0.754,-0.048,0.17
C204,C,0.753,-0.04,0.17
C205,A,0.756,-0.048,0.17
C206,C,0.758,-0.035,0.17
C207,B,0.754,-0.03,0.17
C208,C,0.758,-0.026,0.17
C209,C,0.769,-0.013,0.17
C210,A,0.765,-0.019,0.17
C211,A,0.769,-0.006,0.17
C212,B,0.763,-0.001,0.17
C213,D,0.775,0.008,0.17
C214,A,0.776,0.009,0.17
C215,C,0.778,0.018,0.17
C216,C,0.775,0.015,0.17
C217,A,0.777,0.036,0.17
C218,A,0.783,0.031,0.17
C219,D,0.783,0.041,0.17
C220,A,0.788,0.049,0.17
C221,C,0.782,0.045,0.17
C222,D,0.788,0.046,0.17
C223,C,0.785,0.051,0.17
C224,B,0.79,0.062,0.17
C225,C,0.797,0.09,0.17
C226,C,0.792,0.087,0.17
C227,A,0.798,0.087,0.17
C228,A,0.801,0.096,0.17
C229,D,0.803,0.097,0.17
C230,C,0.804,0.095,0.17
C231,C,0.819,0.103,0.17
C232,B,0.814,0.116,0.17
C233,C,0.823,0.119,0.17
C234,B,0.835,0.121,0.17
C235,A,0.836,0.129,0.17
C236,A,0.831,0.138,0.17
C237,D,0.832,0.143,0.17
C238,A,0.844,0.156,0.17
C239,B,0.855,0.166,0.17
C240,D,0.853,0.17,0.17
C241,D,0.851,0.176,0.17
C242,D,0.867,0.18,0.17
C243,D,0.862,0.171,0.17
C244,D,0.876,0.179,0.17
C245,C,0.879,0.176,0.17
C246,D,0.872,0.188,0.17
C247,B,0.885,0.181,0.17
C248,A,0.88,0.182,0.17
C249,A,0.893,0.182,0.17
C250,D,0.907,0.199,0.17
C251,B,0.898,0.208,0.17
C252,C,0.885,0.219,0.17
C253,C,0.885,0.23,0.17
C254,D,0.883,0.23,0.17
C255,B,0.878,0.231,0.17
C256,C,0.873,0.235,0.17
C257,B,0.866,0.253,0.17
C258,D,0.863,0.253,0.17
C259,D,0.863,0.255,0.17
C260,D,0.859,0.259,0.17
C261,B,0.858,0.267,0.17
C262,D,0.85,0.287,0.17
C263,D,0.847,0.308,0.17
C264,B,0.838,0.313,0.17
C265,C,0.837,0.32,0.17
C266,D,0.836,0.323,0.17
C267,A,0.833,0.33,0.17
C268,A,0.814,0.332,0.17
C269,D,0.814,0.331,0.17
C270,A,0.81,0.337,0.17
C271,A,0.807,0.338,0.17
C272,A,0.807,0.339,0.17
C273,B,0.799,0.344,0.17
C274,D,0.797,0.344,0.17
C275,B,0.795,0.364,0.17
C276,C,0.79,0.37,0.17
C277,C,0.788,0.371,0.17
C278,D,0.784,0.378,0.17
C279,D,0.784,0.395,0.17
C280,D,0.783,0.395,0.17
C281,C,0.782,0.41,0.17
C282,C,0.781,0.414,0.17
C283,A,0.774,0.433,0.17
C284,C,0.774,0.45,0.17
C285,D,0.773,0.445,0.17
C286,B,0.772,0.45,0.17
C287,B,0.771,0.45,0.17
C288,A,0.769,0.459,0.17
C289,A,0.769,0.463,0.17
C290,A,0.765,0.474,0.17
C291,C,0.764,0.472,0.17
C292,C,0.763,0.49,0.17
C293,C,0.758,0.496,0.17
C294,D,0.758,0.504,0.17
C295,B,0.755,0.51,0.17
C296,A,0.754,0.508,0.17
C297,B,0.753,0.519,0.17
C298,C,0.751,0.526,0.17
C299,B,0.749,0.528,0.17
C300,A,0.746,0.539,0.17
C301,D,0.738,0.553,0.17
C302,A,0.738,0.553,0.17
C303,D,0.737,0.554,0.17
C304,A,0.737,0.569,0.17
C305,A,0.735,0.57,0.17
C306,B,0.733,0.576,0.17
C307,A,0.732,0.572,0.17
C308,B,0.728,0.594,0.17
C309,A,0.726,0.595,0.17
C310,C,0.722,0.608,0.17
C311,C,0.722,0.617,0.17
C312,C,0.72,0.612,0.17
C313,D,0.715,0.629,0.17
C314,D,0.715,0.646,0.17
C315,D,0.714,0.646,0.17
C316,B,0.714,0.648,0.17
C317,D,0.713,0.649,0.17
C318,D,0.709,0.654,0.17
C319,C,0.705,0.657,0.17
C320,C,0.702,0.653,0.17
C321,B,0.702,0.663,0.17
C322,A,0.695,0.667,0.17
C323,D,0.692,0.665,0.17
C324,B,0.692,0.661,0.17
C325,D,0.691,0.671,0.17
C326,B,0.688,0.677,0.17
C327,A,0.686,0.685,0.17
C328,A,0.685,0.69,0.17
C329,C,0.682,0.696,0.17
C330,B,0.68,0.71,0.17
C331,A,0.679,0.711,0.17
C332,C,0.679,0.716,0.17
C333,C,0.679,0.728,0.17
C334,C,0.678,0.737,0.17
C335,C,0.674,0.735,0.17
C336,B,0.667,0.742,0.17
C337,B,0.667,0.749,0.17
C338,A,0.663,0.744,0.17
C339,D,0.663,0.743,0.17
C340,D,0.658,0.741,0.17
C341,D,0.656,0.764,0.17
C342,C,0.655,0.774,0.17
C343,C,0.654,0.778,0.17
C344,A,0.654,0.772,0.17
C345,A,0.654,0.775,0.17
C346,C,0.654,0.777,0.17
C347,C,0.654,0.782,0.17
C348,A,0.65,0.793,0.17
C349,B,0.647,0.798,0.17
C350,C,0.647,0.797,0.17
C351,B,0.645,0.809,0.17
C352,A,0.642,0.815,0.17
C353,D,0.641,0.817,0.17
C354,D,0.639,0.827,0.17
C355,C,0.638,0.837,0.17
C356,C,0.637,0.84,0.17
C357,D,0.636,0.835,0.17
C358,D,0.635,0.838,0.17
C359,D,0.633,0.839,0.17
C360,C,0.633,0.845,0.17
C361,C,0.629,0.854,0.17
C362,D,0.627,0.869,0.17
C363,A,0.625,0.873,0.17
C364,D,0.625,0.878,0.17
C365,A,0.624,0.889,0.17
C366,A,0.623,0.896,0.17
C367,B,0.618,0.901,0.17
C368,C,0.617,0.909,0.17
C369,C,0.616,0.911,0.17
C370,D,0.615,0.919,0.17
C371,D,0.613,0.937,0.17
C372,A,0.603,0.932,0.17
C373,A,0.603,0.948,0.17
C374,B,0.603,0.947,0.17
C375,B,0.602,0.962,0.17
C376,A,0.601,0.978,0.17
C377,B,0.598,0.983,0.17
C378,A,0.597,0.988,0.17
C379,A,0.595,0.996,0.17
C380,C,0.593,0.997,0.17
C381,A,0.592,1.001,0.17
C382,D,0.59,1.003,0.17
C383,A,0.587,1.019,0.17
C384,B,0.587,1.027,0.17
C385,D,0.586,1.025,0.17
C386,D,0.585,1.025,0.17
C387,D,0.581,1.021,0.17
C388,A,0.577,1.04,0.17
C389,A,0.575,1.033,0.17
C390,D,0.575,1.05,0.17
C391,D,0.573,1.054,0.17
C392,C,0.572,1.08,0.17
C393,B,0.571,1.082,0.17
C394,B,0.569,1.083,0.17
C395,B,0.569,1.105,0.17
C396,A,0.565,1.106,0.17
C397,A,0.564,1.129,0.17
C398,C,0.562,1.13,0.17
C399,C,0.561,1.131,0.17
C400,B,0.558,1.139,0.17
C401,C,0.558,1.143,0.17
C402,C,0.557,1.142,0.17
C403,B,0.552,1.149,0.17
C404,D,0.55,1.16,0.17
C405,B,0.55,1.151,0.17
C406,D,0.547,1.163,0.17
C407,C,0.547,1.173,0.17
C408,B,0.541,1.182,0.17
C409,A,0.536,1.189,0.17
C410,B,0.536,1.2,0.17
C411,A,0.535,1.197,0.17
C412,B,0.531,1.201,0.17
C413,B,0.529,1.206,0.17
C414,A,0.528,1.214,0.17
C415,B,0.528,1.236,0.17
C416,B,0.526,1.235,0.17
C417,A,0.524,1.242,0.17
C418,A,0.519,1.251,0.17
C419,D,0.519,1.251,0.17
C420,D,0.514,1.264,0.17
C421,B,0.512,1.283,0.17
C422,B,0.509,1.283,0.17
C423,D,0.509,1.292,0.17
C424,B,0.509,1.305,0.17
C425,A,0.506,1.31,0.17
C426,D,0.503,1.315,0.17
C427,A,0.502,1.343,0.17
C428,C,0.5,1.348,0.17
C429,D,0.499,1.372,0.17
C430,C,0.499,1.377,0.17
C431,A,0.496,1.413,0.17
C432,A,0.496,1.421,0.17
C433,D,0.494,1.44,0.17
C434,B,0.492,1.449,0.17
C435,B,0.49,1.462,0.17
C436,C,0.489,1.482,0.17
C437,A,0.489,1.484,0.17
C438,C,0.487,1.498,0.17
C439,B,0.482,1.512,0.17
C440,D,0.482,1.515,0.17
C441,D,0.477,1.525,0.17
C442,C,0.473,1.522,0.17
C443,C,0.471,1.531,0.17
C444,B,0.471,1.538,0.17
C445,A,0.469,1.539,0.17
C446,B,0.467,1.569,0.17
C447,C,0.467,1.586,0.17
C448,D,0.464,1.606,0.17
C449,B,0.463,1.619,0.17
C450,A,0.462,1.636,0.17
C451,C,0.461,1.65,0.17
C452,A,0.458,1.676,0.17
C453,A,0.454,1.68,0.17
C454,D,0.453,1.679,0.17
C455,A,0.45,1.697,0.17
C456,D,0.449,1.706,0.17
C457,A,0.449,1.715,0.17
C458,C,0.448,1.77,0.17
C459,D,0.446,1.789,0.17
C460,A,0.444,1.8,0.17
C461,B,0.441,1.793,0.17
C462,C,0.439,1.816,0.17
C463,D,0.437,1.816,0.17
C464,A,0.437,1.825,0.17
C465,B,0.431,1.839,0.17
C466,C,0.43,1.839,0.17
C467,C,0.428,1.845,0.17
C468,A,0.428,1.868,0.17
C469,A,0.427,1.865,0.17
C470,A,0.426,1.9,0.17
C471,B,0.424,1.893,0.17
C472,D,0.423,1.907,0.17
C473,C,0.42,1.976,0.17
C474,C,0.412,2.005,0.17
C475,B,0.412,2.019,0.17
C476,B,0.407,2.014,0.17
C477,B,0.401,2.058,0.17
C478,C,0.4,2.067,0.17
C479,B,0.397,2.065,0.17
C480,B,0.392,2.134,0.17
C481,D,0.388,2.151,0.17
C482,A,0.386,2.156,0.17
C483,C,0.385,2.152,0.17
C484,D,0.38,2.17,0.17
C485,A,0.374,2.195,0.17
C486,A,0.368,2.218,0.17
C487,C,0.367,2.395,0.17
C488,B,0.365,2.438,0.17
C489,B,0.361,2.475,0.17
C490,C,0.358,2.511,0.17
C491,D,0.355,2.534,0.17
C492,D,0.343,2.558,0.17
C493,D,0.338,2.561,0.17
C494,D,0.336,2.596,0.17
C495,D,0.333,2.683,0.17
C496,A,0.331,2.721,0.17
C497,A,0.327,2.798,0.17
C498,A,0.325,3.111,0.17
C499,C,0.311,3.174,0.17
C500,B,0.307,3.248,0.17
